영화 ID,제목,원제,개봉일,줄거리,장르,국가,제작사,포스터 URL,러닝타임,평점,투표수,인기도,감독,주연
1157805,내 집에 살던 당신에게,내 집에 살던 당신에게,2022-12-31,"어느날 낯선 사람의 이름이 적힌 우편물이 도착했다. 생각해보니 예전에도 비슷한 일이 있었다. 내 집에 살던 누군가에게 온 편지였다. 그 사람도 나처럼 세입자였을테니, 어딘가에서 나처럼 잘못 배송된 우편물을 받고 있을지도 모를 일이다. 우편물이 쌓이고 그 이름이 익숙해질 때쯤, 그 사람에게 편지를 써보자는 생각이 떠올랐다. 나와 같은 공간을 공유한 사람, 내가 본 것을 보았던 사람, 내가 살고 있는 흔적의 주인이었던 그 사람에게.",,,,https://image.tmdb.org/t/p/w500/sHXH6REzvnWZLwouetNZSuGcOeV.jpg,20,0.0,0,0.0,Jeon Junehyuck,
1112433,머신 돈 다이,머신 돈 다이,2022-12-31,"디지털 대상과 기계의 관계를 물질성의 차원에서 접근한다. 데이터는 매끄럽게 마감된 디지털 기기를 통해 다채롭게 현상하지만, 그 기반을 이루는 하드웨어는 효용을 다하면 쓰레기로 취급되어 버려진다. 작업은 전자 폐기물의 처리 및 재활용 산업을 통해 이 물질적 잔여의 흐름을 따라간다. 자연에서 추출되어 전자 기기에 일시적으로 속해 있던 광물, 금속 등은 재생산의 사이클로 다시 흡수되는데, 이러한 디지털 사물의 쇠퇴 과정은 자원 채굴의 역사와 지질학적 시간 속에 포개진다.",,South Korea,,https://image.tmdb.org/t/p/w500/jJGlESf5GtTQmvGfRtXgM14Jzyg.jpg,20,0.0,0,0.0214,이은희,
1086514,팔레트,팔레트,2022-12-31,"걱정되는 미래보단 안정적 현실을 위해 미술을 포기하고 평범한 마케팅 회사 생활을 선택한 하윤. 선택한 길로 살아가는 그녀지만, 마냥 평범한 생활도 순탄치 않았다. 단지 하루를 힘들게 이어 나가는 것으로 버티며 보내게 되는 하루의 연속만 있었고 순식간에 시간이 지나기 일쑤였다. 아직 미술을 포기하지 않은 단짝 친구인 다영과 술자리에서 질문 하나 듣게 된다.  “나보다 좋아했잖아 그림. 평범하게 사는 거치곤, 표정은 그리 좋아보이지 않는데. ”  자신을 위해서 선택한 안정적인 길에서 괴리감을 느끼는 하윤. 하윤은 정말 자신이 평범한 생활에서 행복한지 확인하기 위해 늘 보내던 평범한 하루에 작은 일탈을 하기로 한다. 본인의 행복을 찾아떠나는 어릴적 추억여행의 시작. 그 속에서 맞이하는 대단하지 않은 경치 좋은 하루들. 예전의 추억그림을 쫓아가는 그녀의 깨달음이 하윤을 맞이해준다.",,,,https://image.tmdb.org/t/p/w500/tvyF5c748OYyMKCWvRg4KD5YF6T.jpg,27,0.0,0,0.0143,,
1078384,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,2022-12-31,"#1. 옥토넛과 열대 우림 구조작전. 아마존 열대 우림으로 탐험을 나간 옥토요원 ‘민’은 통째로 사라진 강을 보고 뭔가 심상치 않은 느낌을 받는다.  뿐만 아니라 나무 꼭대기인 임관층에 살아야 할 괴팍한 ‘짖는 원숭이’ 무리 또한 아래로 내려와 막무가내로 ‘민’을 쫓아내려 하는데... ‘민’의 옥토 경보를 들은 옥토넛이 열대 우림으로 출동한다!  #2. 옥토넛과 악어vs상어의 대결. 악어들의 서식지인 늪에 상어떼가 출몰했다?!  염분이 올라간 늪지대로 상어들이 몰려온 것인데.  팽팽하게 맞서는 악어vs상어 사이에 낀 ‘콰지’와 옥토요원 ‘포니’.  과연 모두에게 알맞은 집을 찾아줄 수 있을까?  #3. 옥토넛과 외로운 개구리.  볼리비아 습지의 강물을 조사하던 ‘포니’는 “외로워~” 노래 부르는 희귀한 물개구리를 만난다. 멸종 위기에 처한 물개구리의 친구를 찾아주기 위해 옥토 경보를 울리는 ‘포니’. 거북이를 닮은 새로운 탐험선 테라 4호와 함께 옥토넛이 출동한다!  #4. 옥토넛과 코코아 나무 구하기. 옥토포드와 옥토 요원들의 기지에 동시에 코코아가 떨어지는 전 지구적 문제(?)가 발생한다. 비상 사태를 해결하기 위해 베지멀이 아마존으로 출동하는데. 지네처럼 길쭉한 테라 5호를 타고, 귀여운 베지멀들의 용감한 탐험이 시작된다!",,,,https://image.tmdb.org/t/p/w500/cH6epP4cl8RBBHwxcW8HwY0NZW4.jpg,57,0.0,0,0.0311,,
1068230,재회,재회,2022-12-31,,"애니메이션, 판타지",,,https://image.tmdb.org/t/p/w500/7gTtcu6Hqy8EjoSB6pUUhikt5NO.jpg,6,0.0,0,0.0261,Kang Ap-sol,
1065828,어른이 된다는 건,어른이 된다는 건,2022-12-31,19살 재구는 소년원에서 퇴소한 후 자신이 살았던 아동보육원에서 보호 종료 아동이라고 통보를 받고 퇴소금을 받는다. 어른들은 한 번쯤 사회가 만들어 놓은 사각지대에 놓여 있는 소년들의 반복적인 범죄의 삶에 대해 한번 생각해 볼 과제이다.,,,,https://image.tmdb.org/t/p/w500/65wVXpAnmBWBEyK3qMuSJu3tEcK.jpg,26,0.0,0,0.0214,,
1063144,딱동무,딱동무,2022-12-31,"죽을 고비를 넘기며 한국에 혼자 도착한 혜인, 혼자 왔단 사실과 탈북과정에서 지친 마음때문에 기쁨보다는 힘든 마음으로 하루하루 보내고 있다. 약간의 설렘과 무서움을 동시에 가지고 간 등교 첫날, 학생들의 차별 섞인 비난과 조롱이 이어진다. 그때 혼자 있던 혜인에게 다가와주고 말 걸어주는 유진. 친절한 관심이 익숙하지 않은 혜인은 유진을 계속 밀어낸다. 하지만 아랑곳 않고 유진은 계속 들이대는데...",,,,https://image.tmdb.org/t/p/w500/bJ1D2lnJRiHadFzW3OutFpiOk52.jpg,19,0.0,0,0.0143,,
1057815,가려진 섬,가려진 섬,2022-12-31,"삶의 끝으로 몰린 사람들이 모여 사는, 1년 내내 해무에 둘러싸인 섬. 마을 사람들은 섬의 안위를 위해서라면 수단과 방법을 가리지 않는 이장을 존경과 함께 두려워 한다. 어느 날 섬 주민 혜정의 몸이 아파지고, 마을의 무녀는 그녀를 치료하기 위해 육지에서 사람을 데려오라는 지시를 한다. 한편, 직업을 구하려 직업소개소로 간 정혁은 행운이 따르는지 그날 바로 배를 타는 일을 소개받았다. 그렇게 그는 섬으로 들어간다.","스릴러, 미스터리",,,https://image.tmdb.org/t/p/w500/42ZmMqWiN2lbZFhrmBUH9Ay823h.jpg,101,5.0,2,0.0,,
978668,이 여자의 감칠맛,이 여자의 감칠맛,2022-12-31,이 여자의 감칠맛 19금,,,,,0,0.0,0,0.0,,
926477,황혼 블루스,황혼 블루스,2022-12-31,"1화 ""친구야 청산가자"" 감독 선우완 2화 ""헬로우 시스터즈"" 감독 송경식 3화 ""화창한 봄날에"" 감독 김문옥",,,,https://image.tmdb.org/t/p/w500/9t9Oed9ejSbrW61904CU2BQuRDP.jpg,0,0.0,0,0.0,,
